ano,mes,sigla_uf,tipo_consumo,consumo,data
2015,1,AL,Residencial,116536,2015-01-01
2015,1,AL,Total,433782,2015-01-01
2015,1,AL,Outros,74383,2015-01-01
2015,1,AL,Industrial,176834,2015-01-01
2015,1,AL,Comercial,66029,2015-01-01
2015,1,AL,Cativo,418979,2015-01-01
2015,1,BA,Outros,358392,2015-01-01
2015,1,BA,Residencial,589553,2015-01-01
2015,1,BA,Comercial,307632,2015-01-01
2015,1,BA,Industrial,830606,2015-01-01
2015,1,BA,Total,2086183,2015-01-01
2015,1,BA,Cativo,1867547,2015-01-01
2015,1,CE,Total,966140,2015-01-01
2015,1,CE,Cativo,858850,2015-01-01
2015,1,CE,Comercial,188883,2015-01-01
2015,1,CE,Industrial,195395,2015-01-01
2015,1,CE,Residencial,347041,2015-01-01
2015,1,CE,Outros,234821,2015-01-01
2015,1,MA,Residencial,242538,2015-01-01
2015,1,MA,Cativo,469297,2015-01-01
2015,1,MA,Comercial,97566,2015-01-01
2015,1,MA,Industrial,242883,2015-01-01
2015,1,MA,Outros,98805,2015-01-01
2015,1,MA,Total,681792,2015-01-01
2015,1,PB,Cativo,389399,2015-01-01
2015,1,PB,Residencial,163829,2015-01-01
2015,1,PB,Industrial,108232,2015-01-01
2015,1,PB,Total,442275,2015-01-01
2015,1,PB,Comercial,80399,2015-01-01
2015,1,PB,Outros,89815,2015-01-01
2015,1,PE,Outros,206646,2015-01-01
2015,1,PE,Industrial,311222,2015-01-01
2015,1,PE,Comercial,241901,2015-01-01
2015,1,PE,Total,1193798,2015-01-01
2015,1,PE,Cativo,1003177,2015-01-01
2015,1,PE,Residencial,434029,2015-01-01
2015,1,PI,Outros,58128,2015-01-01
2015,1,PI,Industrial,24544,2015-01-01
2015,1,PI,Comercial,56616,2015-01-01
2015,1,PI,Cativo,266385,2015-01-01
2015,1,PI,Total,273383,2015-01-01
2015,1,PI,Residencial,134095,2015-01-01
2015,1,RN,Outros,100549,2015-01-01
2015,1,RN,Industrial,107065,2015-01-01
2015,1,RN,Cativo,405255,2015-01-01
2015,1,RN,Residencial,175887,2015-01-01
2015,1,RN,Total,476314,2015-01-01
2015,1,RN,Comercial,92813,2015-01-01
2015,1,SE,Industrial,136732,2015-01-01
2015,1,SE,Total,351789,2015-01-01
2015,1,SE,Comercial,53565,2015-01-01
2015,1,SE,Cativo,249017,2015-01-01
2015,1,SE,Residencial,99158,2015-01-01
2015,1,SE,Outros,62334,2015-01-01
2015,2,AL,Industrial,144966,2015-02-01
2015,2,AL,Total,384767,2015-02-01
2015,2,AL,Cativo,369793,2015-02-01
2015,2,AL,Residencial,108885,2015-02-01
2015,2,AL,Comercial,64559,2015-02-01
2015,2,AL,Outros,66357,2015-02-01
2015,2,BA,Industrial,784989,2015-02-01
2015,2,BA,Total,2012148,2015-02-01
2015,2,BA,Cativo,1806501,2015-02-01
2015,2,BA,Outros,339641,2015-02-01
2015,2,BA,Comercial,306675,2015-02-01
2015,2,BA,Residencial,580843,2015-02-01
2015,2,CE,Total,964966,2015-02-01
2015,2,CE,Industrial,198362,2015-02-01
2015,2,CE,Outros,229522,2015-02-01
2015,2,CE,Residencial,349421,2015-02-01
2015,2,CE,Cativo,864354,2015-02-01
2015,2,CE,Comercial,187661,2015-02-01
2015,2,MA,Outros,95000,2015-02-01
2015,2,MA,Industrial,220441,2015-02-01
2015,2,MA,Comercial,97778,2015-02-01
2015,2,MA,Residencial,234652,2015-02-01
2015,2,MA,Total,647871,2015-02-01
2015,2,MA,Cativo,459197,2015-02-01
2015,2,PB,Industrial,118281,2015-02-01
2015,2,PB,Outros,89276,2015-02-01
2015,2,PB,Residencial,155788,2015-02-01
2015,2,PB,Comercial,81176,2015-02-01
2015,2,PB,Cativo,385958,2015-02-01
2015,2,PB,Total,444521,2015-02-01
2015,2,PE,Total,1185833,2015-02-01
2015,2,PE,Residencial,426466,2015-02-01
2015,2,PE,Outros,206977,2015-02-01
2015,2,PE,Cativo,1009793,2015-02-01
2015,2,PE,Industrial,310465,2015-02-01
2015,2,PE,Comercial,241924,2015-02-01
2015,2,PI,Industrial,19836,2015-02-01
2015,2,PI,Comercial,53341,2015-02-01
2015,2,PI,Residencial,121470,2015-02-01
2015,2,PI,Cativo,246885,2015-02-01
2015,2,PI,Total,250743,2015-02-01
2015,2,PI,Outros,56096,2015-02-01
2015,2,RN,Residencial,168135,2015-02-01
2015,2,RN,Comercial,92129,2015-02-01
2015,2,RN,Cativo,393154,2015-02-01
2015,2,RN,Total,459276,2015-02-01
2015,2,RN,Outros,95111,2015-02-01
2015,2,RN,Industrial,103901,2015-02-01
2015,2,SE,Residencial,95126,2015-02-01
2015,2,SE,Total,339156,2015-02-01
2015,2,SE,Comercial,53807,2015-02-01
2015,2,SE,Cativo,244190,2015-02-01
