ano,mes,regiao,tipo_consumo,consumo,data
2015,1,Centro-Oeste,Cativo,2414412,2015-01-01
2015,1,Centro-Oeste,Comercial,607356,2015-01-01
2015,1,Centro-Oeste,Industrial,677273,2015-01-01
2015,1,Centro-Oeste,Outros,583718,2015-01-01
2015,1,Centro-Oeste,Residencial,989503,2015-01-01
2015,1,Centro-Oeste,Total,2857850,2015-01-01
2015,1,Nordeste,Cativo,5927906,2015-01-01
2015,1,Nordeste,Comercial,1185404,2015-01-01
2015,1,Nordeste,Industrial,2133513,2015-01-01
2015,1,Nordeste,Outros,1283873,2015-01-01
2015,1,Nordeste,Residencial,2302666,2015-01-01
2015,1,Nordeste,Total,6905456,2015-01-01
2015,1,Norte,Cativo,1795658,2015-01-01
2015,1,Norte,Comercial,382900,2015-01-01
2015,1,Norte,Industrial,1236241,2015-01-01
2015,1,Norte,Outros,374945,2015-01-01
2015,1,Norte,Residencial,726570,2015-01-01
2015,1,Norte,Total,2720657,2015-01-01
2015,1,Sudeste,Cativo,14882078,2015-01-01
2015,1,Sudeste,Comercial,4476630,2015-01-01
2015,1,Sudeste,Industrial,7344250,2015-01-01
2015,1,Sudeste,Outros,2645815,2015-01-01
2015,1,Sudeste,Residencial,6476567,2015-01-01
2015,1,Sudeste,Total,20943262,2015-01-01
2015,1,Sul,Cativo,6007507,2015-01-01
2015,1,Sul,Comercial,1423852,2015-01-01
2015,1,Sul,Industrial,2364735,2015-01-01
2015,1,Sul,Outros,1479155,2015-01-01
2015,1,Sul,Residencial,2062995,2015-01-01
2015,1,Sul,Total,7330738,2015-01-01
2015,2,Centro-Oeste,Cativo,2501787,2015-02-01
2015,2,Centro-Oeste,Comercial,618484,2015-02-01
2015,2,Centro-Oeste,Industrial,706405,2015-02-01
2015,2,Centro-Oeste,Outros,668257,2015-02-01
2015,2,Centro-Oeste,Residencial,936289,2015-02-01
2015,2,Centro-Oeste,Total,2929435,2015-02-01
2015,2,Nordeste,Cativo,5779825,2015-02-01
2015,2,Nordeste,Comercial,1179050,2015-02-01
2015,2,Nordeste,Industrial,2031018,2015-02-01
2015,2,Nordeste,Outros,1238426,2015-02-01
2015,2,Nordeste,Residencial,2240786,2015-02-01
2015,2,Nordeste,Total,6689281,2015-02-01
2015,2,Norte,Cativo,1735537,2015-02-01
2015,2,Norte,Comercial,376873,2015-02-01
2015,2,Norte,Industrial,1144326,2015-02-01
2015,2,Norte,Outros,366740,2015-02-01
2015,2,Norte,Residencial,677514,2015-02-01
2015,2,Norte,Total,2565453,2015-02-01
2015,2,Sudeste,Cativo,14675281,2015-02-01
2015,2,Sudeste,Comercial,4446794,2015-02-01
2015,2,Sudeste,Industrial,7831951,2015-02-01
2015,2,Sudeste,Outros,2633286,2015-02-01
2015,2,Sudeste,Residencial,5957795,2015-02-01
2015,2,Sudeste,Total,20869826,2015-02-01
2015,2,Sul,Cativo,6323051,2015-02-01
2015,2,Sul,Comercial,1468664,2015-02-01
2015,2,Sul,Industrial,2730946,2015-02-01
2015,2,Sul,Outros,1497782,2015-02-01
2015,2,Sul,Residencial,1967877,2015-02-01
2015,2,Sul,Total,7665269,2015-02-01
2015,3,Centro-Oeste,Cativo,2301514,2015-03-01
2015,3,Centro-Oeste,Comercial,604008,2015-03-01
2015,3,Centro-Oeste,Industrial,754616,2015-03-01
2015,3,Centro-Oeste,Outros,591976,2015-03-01
2015,3,Centro-Oeste,Residencial,828374,2015-03-01
2015,3,Centro-Oeste,Total,2778974,2015-03-01
2015,3,Nordeste,Cativo,5809596,2015-03-01
2015,3,Nordeste,Comercial,1197847,2015-03-01
2015,3,Nordeste,Industrial,2212021,2015-03-01
2015,3,Nordeste,Outros,1218336,2015-03-01
2015,3,Nordeste,Residencial,2213527,2015-03-01
2015,3,Nordeste,Total,6841731,2015-03-01
2015,3,Norte,Cativo,1784254,2015-03-01
2015,3,Norte,Comercial,391184,2015-03-01
2015,3,Norte,Industrial,1249395,2015-03-01
2015,3,Norte,Outros,388460,2015-03-01
2015,3,Norte,Residencial,680311,2015-03-01
2015,3,Norte,Total,2709350,2015-03-01
2015,3,Sudeste,Cativo,14006699,2015-03-01
2015,3,Sudeste,Comercial,4320106,2015-03-01
2015,3,Sudeste,Industrial,7736994,2015-03-01
2015,3,Sudeste,Outros,2519481,2015-03-01
2015,3,Sudeste,Residencial,5573471,2015-03-01
2015,3,Sudeste,Total,20150052,2015-03-01
2015,3,Sul,Cativo,5916653,2015-03-01
2015,3,Sul,Comercial,1394635,2015-03-01
2015,3,Sul,Industrial,2637162,2015-03-01
2015,3,Sul,Outros,1444630,2015-03-01
2015,3,Sul,Residencial,1802427,2015-03-01
2015,3,Sul,Total,7278854,2015-03-01
2015,4,Centro-Oeste,Cativo,2388160,2015-04-01
2015,4,Centro-Oeste,Comercial,627793,2015-04-01
2015,4,Centro-Oeste,Industrial,730230,2015-04-01
